epic,side,size,entry_price,exit_price,entry_time,exit_time,pnl,fees,return_pct
EURUSD,BUY,1725.156665789712,1.159385,1.1605012350877144,2026-06-16T07:30:00+00:00,2026-06-16T08:45:00+00:00,1.9257,0.0,0.000963
GBPUSD,BUY,1490.7732453753001,1.341695,1.3404245672270223,2026-06-16T07:45:00+00:00,2026-06-16T14:30:00+00:00,-1.8939,0.0,-0.000947
EURUSD,SELL,1744.6125233496728,1.14632,1.1446207403814335,2026-06-21T22:00:00+00:00,2026-06-22T07:30:00+00:00,2.9645,0.0,0.001482
EURUSD,SELL,1762.1689859245103,1.135235,1.136217068873487,2026-06-25T06:45:00+00:00,2026-06-25T08:00:00+00:00,-1.7306,0.0,-0.000865
GBPUSD,BUY,1515.7509377922443,1.319715,1.320375,2026-06-25T13:15:00+00:00,2026-06-25T18:15:00+00:00,1.0004,0.0,0.0005
