epic,side,size,entry_price,exit_price,entry_time,exit_time,pnl,fees,return_pct
EURUSD,BUY,1761.6218057558756,1.135325,1.134935,2026-06-24T15:30:00+00:00,2026-06-25T00:15:00+00:00,-0.687,0.0,-0.000344
GBPUSD,BUY,1518.9393462892879,1.316845,1.316125,2026-06-24T20:30:00+00:00,2026-06-25T00:15:00+00:00,-1.0936,0.0,-0.000547
EURUSD,SELL,1761.7147893423548,1.134935,1.1358365062714386,2026-06-25T00:15:00+00:00,2026-06-25T01:00:00+00:00,-1.5882,0.0,-0.000794
GBPUSD,SELL,1519.1774997828372,1.316125,1.317395,2026-06-25T00:15:00+00:00,2026-06-25T01:00:00+00:00,-1.9294,0.0,-0.000965
EURUSD,BUY,1759.628967935275,1.136195,1.1352310388927294,2026-06-25T01:00:00+00:00,2026-06-25T06:45:00+00:00,-1.6962,0.0,-0.000848
EURUSD,SELL,1760.2238443569252,1.135235,1.136217068873487,2026-06-25T06:45:00+00:00,2026-06-25T08:00:00+00:00,-1.7287,0.0,-0.000865
GBPUSD,BUY,1517.3403061928611,1.317395,1.3190348583501375,2026-06-25T01:00:00+00:00,2026-06-25T08:15:00+00:00,2.4882,0.0,0.001245
EURUSD,BUY,1757.674590515733,1.137165,1.135982247592271,2026-06-25T08:30:00+00:00,2026-06-25T10:00:00+00:00,-2.0789,0.0,-0.00104
EURUSD,SELL,1759.8006224051394,1.135415,1.1339062475193429,2026-06-25T10:15:00+00:00,2026-06-25T11:15:00+00:00,2.6551,0.0,0.001329
GBPUSD,SELL,1517.5996086514256,1.316825,1.318249106536264,2026-06-25T10:45:00+00:00,2026-06-25T12:30:00+00:00,-2.1612,0.0,-0.001081
EURUSD,BUY,1758.2800816273632,1.136445,1.1386933429442838,2026-06-25T13:45:00+00:00,2026-06-25T15:15:00+00:00,3.9532,0.0,0.001978
GBPUSD,BUY,1514.2905749183913,1.319715,1.321625,2026-06-25T13:15:00+00:00,2026-06-25T15:30:00+00:00,2.8923,0.0,0.001447
