epic,side,size,entry_price,exit_price,entry_time,exit_time,pnl,fees,return_pct
EURUSD,BUY,1731.4443275719523,1.155175,1.1583117225746957,2026-06-11T17:45:00+00:00,2026-06-11T19:30:00+00:00,5.4311,0.0,0.002715
GBPUSD,BUY,1493.7802723908328,1.338955,1.3427977761785967,2026-06-11T17:45:00+00:00,2026-06-11T19:30:00+00:00,5.7403,0.0,0.00287
EURUSD,SELL,1732.388733653628,1.155695,1.1568049793965438,2026-06-12T05:45:00+00:00,2026-06-12T06:00:00+00:00,-1.9229,0.0,-0.00096
GBPUSD,SELL,1494.650839617188,1.3395299999999999,1.340901604065101,2026-06-12T05:45:00+00:00,2026-06-12T06:00:00+00:00,-2.0501,0.0,-0.001024
EURUSD,BUY,1728.9188362012292,1.157695,1.1561790464550954,2026-06-12T08:15:00+00:00,2026-06-12T12:15:00+00:00,-2.621,0.0,-0.001309
GBPUSD,BUY,1492.1140107559559,1.341415,1.3395190109647377,2026-06-12T08:45:00+00:00,2026-06-12T12:15:00+00:00,-2.829,0.0,-0.001413
EURUSD,SELL,1730.3338189714316,1.156095,1.157609944679889,2026-06-12T12:15:00+00:00,2026-06-12T13:15:00+00:00,-2.6214,0.0,-0.00131
GBPUSD,SELL,1493.9186996732465,1.338925,1.3407795665618387,2026-06-12T12:15:00+00:00,2026-06-12T13:15:00+00:00,-2.7706,0.0,-0.001385
EURUSD,BUY,1726.8816118826658,1.157805,1.1568749999999999,2026-06-12T15:00:00+00:00,2026-06-12T20:00:00+00:00,-1.606,0.0,-0.000803
GBPUSD,BUY,1489.580527297348,1.342345,1.3401621773254666,2026-06-12T15:15:00+00:00,2026-06-12T20:30:00+00:00,-3.2515,0.0,-0.001626
EURUSD,SELL,1727.4664276551202,1.1568749999999999,1.1579897830550538,2026-06-12T20:00:00+00:00,2026-06-14T21:15:00+00:00,-1.9258,0.0,-0.000964
GBPUSD,SELL,1491.059384691934,1.340155,1.3415172937162074,2026-06-12T20:30:00+00:00,2026-06-14T21:15:00+00:00,-2.0313,0.0,-0.001017
EURUSD,BUY,1722.961315646254,1.159535,1.1611897386455237,2026-06-14T21:15:00+00:00,2026-06-14T22:00:00+00:00,2.8511,0.0,0.001427
GBPUSD,BUY,1488.408321139358,1.34217,1.344334998991121,2026-06-14T21:30:00+00:00,2026-06-14T22:00:00+00:00,3.2224,0.0,0.001613
GBPUSD,SELL,1487.704139824966,1.3434249999999999,1.343495,2026-06-15T07:30:00+00:00,2026-06-15T14:15:00+00:00,-0.1041,0.0,-5.2e-05
GBPUSD,BUY,1487.766154028833,1.343495,1.342975,2026-06-15T14:15:00+00:00,2026-06-15T16:00:00+00:00,-0.7736,0.0,-0.000387
GBPUSD,SELL,1488.06419922669,1.342975,1.343405,2026-06-15T16:00:00+00:00,2026-06-15T16:15:00+00:00,-0.6399,0.0,-0.00032
GBPUSD,BUY,1487.593832892753,1.343405,1.3425449999999999,2026-06-15T16:15:00+00:00,2026-06-15T16:30:00+00:00,-1.2793,0.0,-0.00064
EURUSD,SELL,1722.5576259687916,1.1602649999999999,1.1587289603394337,2026-06-15T15:15:00+00:00,2026-06-15T19:45:00+00:00,2.6459,0.0,0.001324
GBPUSD,SELL,1488.3549657085948,1.3425449999999999,1.3406211995103785,2026-06-15T16:30:00+00:00,2026-06-16T01:45:00+00:00,2.8633,0.0,0.001433
EURUSD,BUY,1724.523120208353,1.159385,1.1605012350876112,2026-06-16T07:30:00+00:00,2026-06-16T08:45:00+00:00,1.925,0.0,0.000963
GBPUSD,BUY,1490.2257746318337,1.341695,1.340995,2026-06-16T07:45:00+00:00,2026-06-16T13:45:00+00:00,-1.0432,0.0,-0.000522
EURUSD,SELL,1724.9094290132557,1.159015,1.1603023688280087,2026-06-16T14:15:00+00:00,2026-06-16T14:45:00+00:00,-2.2206,0.0,-0.001111
GBPUSD,SELL,1490.935848850826,1.340995,1.3424504708742158,2026-06-16T13:45:00+00:00,2026-06-16T14:45:00+00:00,-2.17,0.0,-0.001085
GBPUSD,BUY,1488.4053773565972,1.342825,1.3411677607341086,2026-06-16T14:45:00+00:00,2026-06-17T06:00:00+00:00,-2.4666,0.0,-0.001234
EURUSD,BUY,1722.1527355649273,1.1607750000000001,1.160555,2026-06-16T14:45:00+00:00,2026-06-17T06:15:00+00:00,-0.3789,0.0,-0.00019
EURUSD,SELL,1721.4816663307345,1.160555,1.1613270513987666,2026-06-17T06:15:00+00:00,2026-06-17T07:00:00+00:00,-1.3291,0.0,-0.000665
GBPUSD,SELL,1488.78109160046,1.342105,1.3405559147856776,2026-06-17T06:00:00+00:00,2026-06-17T11:30:00+00:00,2.3062,0.0,0.001154
EURUSD,BUY,1734.1110005551516,1.152355,1.1512596027590465,2026-06-18T04:15:00+00:00,2026-06-18T05:45:00+00:00,-1.8995,0.0,-0.000951
EURUSD,SELL,1735.6038365819688,1.151005,1.1520466895013464,2026-06-18T05:45:00+00:00,2026-06-18T06:00:00+00:00,-1.808,0.0,-0.000905
